Index,Address,Room Count,Size,Price
285,"Tartu, Tartu linn, Karlova, Teguri tn 32/1-24",1,24.4 m²,133 000 €
286,"Tartu, Tartu linn, Karlova, Piiskopi tn 15",3,71.1 m²,149 000 €
287,"Tartu, Tartu linn, Karlova, Rebase 17-14",2,44 m²,144 400 €
288,"Tartu, Tartu linn, Karlova, Siili tn 10-5",3,92.5 m²,219 000 €
289,"Tartu, Tartu linn, Raadi-Kruusamäe, Stardiraja tn 3-3",4,83.6 m²,211 900 €
290,"Tartu, Tartu linn, Raadi-Kruusamäe, Kukerpuu tn 1-17",3,68.3 m²,178 000 €
291,"Tartu, Tartu linn, Supilinn, Meloni 33-8",3,62.3 m²,331 000 €
292,"Tartu, Tartu linn, Jaamamõisa, Lääne 3",1,26.8 m²,59 000 €
293,"Tartu, Tartu linn, Kesklinn, Vanalinn, Lai tn 29-11",2,20 m²,119 980 €
294,"Tartu, Tartu linn, Karlova, Rebase 17-3",2,44 m²,142 300 €
295,"Tartu, Kesklinn, Tähtvere tn 18c",3,63 m²,135 000 €
296,"Tartu, Ropka, Aardla tn 7a",2,43.9 m²,125 000 €
297,"Tartu, Tartu linn, Karlova, Siili tn 12-29",3,91.9 m²,247 000 €
298,"Tartu, Ülejõe, Pärna 21a",3,60.8 m²,153 000 €
299,"Tartu, Ropka, Kaasiku 1a",2,69.9 m²,145 000 €
